Date,Ticker,compound,neg,neu,pos
2021-04-06,AMC,0.7184,0.0,0.739,0.261
2021-04-06,AMC,0.5367,0.0,0.818,0.182
2021-04-06,AMC,-0.8271,0.437,0.492,0.071
2021-04-06,AMC,0.5367,0.0,0.818,0.182
2021-04-06,AMC,0.4404,0.0,0.892,0.108
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.2732,0.087,0.913,0.0
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.3612,0.0,0.444,0.556
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.128,0.0,0.923,0.077
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.2023,0.0,0.899,0.101
2021-04-06,AMC,0.8326,0.0,0.719,0.281
2021-04-06,AMC,0.3182,0.0,0.881,0.119
2021-04-06,AMC,-0.1289,0.097,0.903,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.296,0.0,0.896,0.104
2021-04-06,AMC,0.3744,0.0,0.903,0.097
2021-04-06,AMC,0.4647,0.095,0.661,0.244
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.7717,0.242,0.758,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.2732,0.0,0.9,0.1
2021-04-06,AMC,-0.1779,0.199,0.679,0.122
2021-04-06,AMC,0.5473,0.0,0.809,0.191
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.4588,0.118,0.669,0.213
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.6369,0.0,0.682,0.318
2021-04-06,AMC,-0.7402,0.222,0.778,0.0
2021-04-06,AMC,0.0516,0.0,0.625,0.375
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.2944,0.12,0.692,0.189
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.128,0.328,0.382,0.29
2021-04-06,AMC,0.2263,0.0,0.513,0.487
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.4767,0.0,0.744,0.256
2021-04-06,AMC,-0.4404,0.295,0.537,0.168
2021-04-06,AMC,0.9118,0.0,0.357,0.643
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,0.6705,0.089,0.633,0.278
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.2023,0.0,0.893,0.107
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.1027,0.189,0.811,0.0
2021-04-06,AMC,0.1695,0.0,0.915,0.085
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.0387,0.06,0.94,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.296,0.136,0.864,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.1531,0.091,0.794,0.115
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.5413,0.0,0.809,0.191
2021-04-06,AMC,0.2023,0.257,0.446,0.297
2021-04-06,AMC,0.6124,0.0,0.783,0.217
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.296,0.355,0.645,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.5267,0.077,0.714,0.209
2021-04-06,AMC,0.2732,0.0,0.877,0.123
2021-04-06,AMC,0.3612,0.0,0.762,0.238
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,-0.25,0.143,0.857,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.7402,0.222,0.778,0.0
2021-04-06,AMC,0.5859,0.0,0.441,0.559
2021-04-06,AMC,0.6705,0.0,0.718,0.282
2021-04-06,AMC,0.3252,0.0,0.879,0.121
2021-04-06,AMC,-0.0191,0.118,0.882,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.6249,0.0,0.806,0.194
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.6486,0.223,0.777,0.0
2021-04-06,AMC,-0.6808,0.167,0.833,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.2732,0.0,0.909,0.091
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.7269,0.115,0.478,0.407
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.8534,0.0,0.436,0.564
2021-04-06,AMC,-0.6526,0.219,0.781,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.5423,0.092,0.669,0.238
2021-04-06,AMC,0.3818,0.0,0.755,0.245
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.2023,0.0,0.899,0.101
2021-04-06,AMC,0.2732,0.128,0.642,0.229
2021-04-06,AMC,-0.5106,0.18,0.728,0.092
2021-04-06,AMC,0.5106,0.0,0.732,0.268
2021-04-06,AMC,0.296,0.0,0.913,0.087
2021-04-06,AMC,0.5106,0.0,0.752,0.248
2021-04-06,AMC,0.1531,0.176,0.667,0.157
2021-04-06,AMC,-0.0772,0.198,0.621,0.181
2021-04-06,AMC,-0.6486,0.212,0.788,0.0
2021-04-06,AMC,0.7783,0.0,0.618,0.382
