Ticker,Date,compound,neg,neu,pos
AMC,2021-04-02,-0.2235,0.086,0.914,0.0
AMC,2021-04-02,-0.4939,0.615,0.385,0.0
AMC,2021-04-02,0.0,0.0,1.0,0.0
AMC,2021-04-02,0.2263,0.0,0.678,0.322
AMC,2021-04-02,0.25,0.073,0.791,0.136
AMC,2021-04-02,0.25,0.073,0.791,0.136
AMC,2021-04-02,0.0258,0.163,0.622,0.215
AMC,2021-04-02,0.0,0.0,1.0,0.0
AMC,2021-04-02,-0.4939,0.111,0.823,0.066
AMC,2021-04-02,0.0,0.0,1.0,0.0
AMC,2021-04-02,0.5106,0.0,0.602,0.398
AMC,2021-04-02,0.0,0.0,1.0,0.0
AMC,2021-04-02,0.3818,0.0,0.658,0.342
AMC,2021-04-02,0.6997,0.0,0.784,0.216
AMC,2021-04-02,0.296,0.0,0.476,0.524
AMC,2021-04-02,0.4404,0.0,0.775,0.225
AMC,2021-04-02,0.0,0.0,1.0,0.0
AMC,2021-04-02,0.516,0.153,0.58,0.267
AMC,2021-04-02,0.128,0.18,0.602,0.218
AMC,2021-04-02,0.4404,0.0,0.633,0.367
AMC,2021-04-01,0.8225,0.0,0.65,0.35
AMC,2021-04-01,0.6739,0.0,0.779,0.221
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,-0.4824,0.343,0.657,0.0
AMC,2021-04-01,0.4939,0.0,0.789,0.211
AMC,2021-04-01,-0.0516,0.134,0.741,0.125
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,-0.0258,0.109,0.891,0.0
AMC,2021-04-01,0.6258,0.0,0.696,0.304
AMC,2021-04-01,-0.6408,0.412,0.448,0.141
AMC,2021-04-01,-0.4784,0.255,0.745,0.0
AMC,2021-04-01,0.6124,0.08,0.739,0.181
AMC,2021-04-01,-0.0516,0.125,0.726,0.149
AMC,2021-04-01,-0.0516,0.125,0.726,0.149
AMC,2021-04-01,0.0516,0.169,0.724,0.107
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,-0.3182,0.277,0.723,0.0
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.4019,0.0,0.769,0.231
AMC,2021-04-01,0.7003,0.0,0.707,0.293
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.296,0.0,0.804,0.196
AMC,2021-04-01,0.296,0.0,0.864,0.136
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,-0.2235,0.086,0.914,0.0
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,-0.3321,0.111,0.889,0.0
AMC,2021-04-01,0.8573,0.0,0.654,0.346
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.6369,0.0,0.781,0.219
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,-0.5165,0.281,0.563,0.156
AMC,2021-04-01,-0.4715,0.304,0.543,0.153
AMC,2021-04-01,0.7964,0.0,0.426,0.574
AMC,2021-04-01,0.0516,0.219,0.479,0.301
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.296,0.0,0.645,0.355
AMC,2021-04-01,0.6597,0.0,0.649,0.351
AMC,2021-04-01,0.4019,0.0,0.769,0.231
AMC,2021-04-01,0.296,0.0,0.855,0.145
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.296,0.0,0.732,0.268
